"contrast","Treatment","estimate","SE","df","t.ratio","p.value","feature","note"
"Mid Post - Late Post","S",-33.4808051081723,3.47773249078193,1473.35806494288,-9.62719392504063,5.12764788980115e-21,"gfcc_6_mean","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","U",-16.4503413095881,5.36407899884159,1477.95945354509,-3.06675970155188,0.00330478932043926,"gfcc_6_mean","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","U",-20.0594871682016,6.71565710200306,1456.47909137295,-2.98697310829324,0.0034375613267328,"gfcc_6_mean","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","U",-44.5889119691914,4.56089785597718,1363.31400065384,-9.77634522350823,4.37574662104455e-21,"gfcc_6_mean","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","U",-3.60914585861347,6.81587761645448,1477.70612009781,-0.529520343777959,0.596524075506299,"gfcc_6_mean","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","U",-28.1385706596032,5.89970225266106,1310.19595251418,-4.7694899597537,0.00000616084771844513,"gfcc_6_mean","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","U",-24.5294248009898,7.27261235919237,1290.33087552494,-3.37284920321448,0.00153198953845433,"gfcc_6_mean","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","S",-27.7004263221291,4.55810645812282,1475.0185835431,-6.07717844605522,0.00000000466302805491925,"gfcc_7_mean","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","S",-11.4887960450243,5.5460796881135,1474.38087143626,-2.07151658308253,0.0384841212938593,"gfcc_7_mean","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","S",10.6573831595294,4.33047837065786,1474.61710618748,2.46101752447048,0.0167618694760443,"gfcc_7_mean","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","S",16.2116302771048,4.5106215764514,1474.30929826966,3.59410116817178,0.00050434402911096,"gfcc_7_mean","BH-adjusted; exploratory post-hoc"
