"contrast","Stage","estimate","SE","df","t.ratio","p.value","feature","note"
"S - U","Late Post",-9.18384738832899,2.04179484620906,4.92532923826734,-4.49792857758474,0.00664748216617311,"gfcc_7_std","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-1.83281882791333,10.0458454908617,7.65533879403661,-0.182445452658073,0.859971578120396,"gfcc_8_mean","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",56.8283085644218,10.1737961817452,7.92299901051404,5.5857526088825,0.00053688196302001,"gfcc_8_mean","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",2.87858305440699,11.4953959314995,12.4624959161416,0.250411823269101,0.806349551246425,"gfcc_8_mean","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",-18.4446106536812,9.50864050619235,5.82202025702661,-1.93977368706594,0.101948859608887,"gfcc_8_mean","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-1.26429725400352,0.719870061924647,7.2187359101462,-1.75628536436602,0.121168642379843,"jit_factor","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",1.13113332683173,0.727965314830644,7.45826060263359,1.55382860115372,0.161552470226245,"jit_factor","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",0.0660970559922347,0.811712594684411,11.2262595542183,0.0814291368953476,0.936534338383572,"jit_factor","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",0.484691399042802,0.686467405065953,5.73709929627219,0.70606615181712,0.507789076890913,"jit_factor","BH-adjusted; exploratory post-hoc"
"S - U","Pre",0.143185966602128,0.0360337577576669,7.99292977438236,3.97366179694823,0.00410517427781759,"lpc_11_mean","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",0.0576043806931754,0.0365302428592982,8.27783685062698,1.57689564000567,0.152205654043151,"lpc_11_mean","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",0.0633520445483338,0.0416558377413397,13.4079805716426,1.52084432779184,0.15152657690379,"lpc_11_mean","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",-0.0763727141780031,0.033921165648779,5.87687340901529,-2.25147670244499,0.0662290347150552,"lpc_11_mean","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-0.153803764874487,0.172423671998671,5.37321968269018,-0.892010726205119,0.410550655140282,"lpc_4_mean","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",-0.211588963097307,0.172848739303351,5.42388194809383,-1.22412789326723,0.271400420148666,"lpc_4_mean","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",-0.135857728052021,0.177351564708906,6.00497469241069,-0.766036252767262,0.472681851267795,"lpc_4_mean","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",-0.178176920176144,0.170796160395375,5.16576700096062,-1.04321385073109,0.343189069468676,"lpc_4_mean","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-0.000527471576993745,0.018517396184429,10.6445194150394,-0.0284851915323434,0.977802204031333,"lpcc_10_mean","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",0.0788060435987975,0.0188788200243909,10.9301890096169,4.1743098083981,0.00157267281095479,"lpcc_10_mean","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",0.0113217479920504,0.0226508951362468,20.3152765207792,0.499836669762905,0.622560857190383,"lpcc_10_mean","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",0.0214513182868827,0.0168110555211358,6.05481953754928,1.27602447448424,0.248708065802428,"lpcc_10_mean","BH-adjusted; exploratory post-hoc"
"S - U","Pre",0.0764848164767636,0.14193094989987,5.41960597590863,0.538887512066412,0.611361165325485,"lpcc_2_mean","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",-0.188817540435622,0.142321413702234,5.47630405362658,-1.32669803878331,0.237241484488482,"lpcc_2_mean","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",0.21890729663082,0.146453225156953,6.13210621531699,1.49472499766542,0.184563777899639,"lpcc_2_mean","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",0.154768612193625,0.140433056695391,5.18504468458718,1.10208106150768,0.31893448036822,"lpcc_2_mean","BH-adjusted; exploratory post-hoc"
"S - U","Pre",0.0470006843621464,0.0788604455342832,5.27200766607529,0.595998209795982,0.575845240013828,"lpcc_4_mean","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",-0.0364625817877429,0.0790044809069825,5.30929465486244,-0.461525490315833,0.662717832622939,"lpcc_4_mean","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",0.0930639105522858,0.0805340503964653,5.72914264616232,1.15558462655407,0.293758730719866,"lpcc_4_mean","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",0.0534999362178334,0.0783112688385824,5.12270496058915,0.683170340760398,0.524168242030648,"lpcc_4_mean","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-0.199213459030921,0.0751405176673136,5.22336618245954,-2.65121222498018,0.0434361977026404,"lpcc_5_mean","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",0.0657143461570889,0.0752541196629467,5.25412666238727,0.873232541306906,0.420647498935368,"lpcc_5_mean","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",0.111637656457732,0.0764620114197742,5.59739287460022,1.46004080176291,0.19802228322081,"lpcc_5_mean","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",0.139687021410127,0.0747082524237035,5.1015160025008,1.8697669518208,0.119291948275896,"lpcc_5_mean","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-0.0250982300368832,0.0351642533806386,6.16594469825869,-0.713742725181882,0.501497701838067,"lpcc_6_mean","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",0.073003912354682,0.0354041949684947,6.31106403687167,2.06201305861202,0.0825110080304878,"lpcc_6_mean","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",0.0242639556618098,0.0379096529824217,8.22259481063045,0.640046894469351,0.539563422215571,"lpcc_6_mean","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",0.137361581494083,0.0342152382109215,5.45786764149903,4.01463174528585,0.00850635360244369,"lpcc_6_mean","BH-adjusted; exploratory post-hoc"
"S - U","Pre",0.0195847242223964,0.00793265701278312,9.36841070301144,2.46887318975679,0.0346606448782549,"lpcc_7_std","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",0.014875378839348,0.00806920452998173,9.68308158362452,1.84347525014113,0.0960316815338638,"lpcc_7_std","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",0.035802736254277,0.00948302227331623,17.1215972112912,3.77545630732308,0.00149294824410673,"lpcc_7_std","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",0.00251768617873594,0.00731930751313986,6.01770791425665,0.343978740368007,0.742563252636861,"lpcc_7_std","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-0.109416796023565,0.0166913777404125,10.9068767397141,-6.55528846840785,0.00004274781114666,"lpcc_8_mean","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",0.0379432699002493,0.0170237161491889,11.1801027303066,2.22884765980177,0.047250708331513,"lpcc_8_mean","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",-0.0484088315321338,0.0204995354530804,20.9387183941198,-2.36145992883266,0.0279731519678156,"lpcc_8_mean","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",-0.0321200617951187,0.0151062834443929,6.05377140744346,-2.12627162156426,0.0772000455906519,"lpcc_8_mean","BH-adjusted; exploratory post-hoc"
"S - U","Pre",0.0613964085261093,0.0192955093801507,10.155953645032,3.18190141117849,0.00960560163098077,"lpcc_9_mean","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",0.0661907677423447,0.0196566801247752,10.458982385263,3.36734216165619,0.00672575287670354,"lpcc_9_mean","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",-0.0634076601719002,0.0234128649566731,19.1237736023271,-2.70824011880818,0.0138861656655495,"lpcc_9_mean","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",0.0178369855920713,0.017622486253905,6.04942550337627,1.01217191122046,0.350213870991718,"lpcc_9_mean","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-158.415380093823,77.2502943848848,5.59345834412686,-2.05067671722452,0.0895778450006356,"lsf_3_mean","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",64.0008857166422,77.5427210559478,5.67223712219347,0.825362907634682,0.442485021930707,"lsf_3_mean","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",-171.937051546064,80.6255486816157,6.61216900321933,-2.13253806464041,0.0727010287168729,"lsf_3_mean","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",-109.590559121694,76.1204177100209,5.25478727703939,-1.43969991782201,0.20675513232659,"lsf_3_mean","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-9.84161637462673,14.7569399012163,10.1037964373954,-0.666914444356825,0.51976575304311,"lsf_4_std","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",59.3549131546174,15.0318142729595,10.4082251838857,3.94861937998994,0.00253279102870695,"lsf_4_std","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",21.4021050482984,17.8895333034401,18.9942497056256,1.19634786918577,0.246281453084032,"lsf_4_std","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",32.7046587533849,13.4862474058861,6.04824416655229,2.42503772688546,0.0511843799581366,"lsf_4_std","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-1.4822608678509,17.5019372462627,6.29398458246381,-0.084691245717237,0.9351369134494,"lsf_8_std","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",4.98764949575126,17.6320558278881,6.452540400576,0.282873962312576,0.786130918708199,"lsf_8_std","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",-10.0640706273891,18.9885231038027,8.58683168621216,-0.530008077635782,0.609534878045285,"lsf_8_std","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",41.3746317226628,16.984616251568,5.49802822650345,2.43600627237269,0.0544648999799625,"lsf_8_std","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-16.2255830618582,16.760958919084,6.52926912155352,-0.968058160645201,0.367494917991425,"mfcc_11_mean","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",40.7025865991342,16.9034263295391,6.71112949780328,2.4079488859608,0.048403195019746,"mfcc_11_mean","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",41.978700075141,18.3847632445488,9.25808555106706,2.28334189114934,0.0475223001497473,"mfcc_11_mean","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",44.6574607400917,16.1891346633022,5.56712993935001,2.75848349333471,0.0355955887029895,"mfcc_11_mean","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-17.7271544851854,12.8772300438865,5.72788825636256,-1.37662792578606,0.220012359152983,"mfcc_2_mean","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",44.1215897906681,12.935786986793,5.82313945131641,3.41081604356308,0.0149867032767906,"mfcc_2_mean","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",10.1475353196345,13.5515009034734,6.98677869898176,0.748812651226964,0.478415994956382,"mfcc_2_mean","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",38.689688095836,12.6497256983413,5.30606200132162,3.05853968840678,0.0260628863313792,"mfcc_2_mean","BH-adjusted; exploratory post-hoc"
"S - U","Pre",-2.94966159298806,2.5304620355383,9.1183862658486,-1.16566127116805,0.273336196312786,"mfcc_2_std","BH-adjusted; exploratory post-hoc"
"S - U","Early Post",-4.5719330920731,2.57265131893433,9.43243937952633,-1.77712893248469,0.107735316082771,"mfcc_2_std","BH-adjusted; exploratory post-hoc"
"S - U","Mid Post",13.6892556333178,3.00902823305765,16.4658286719811,4.54939421402747,0.000306504621499795,"mfcc_2_std","BH-adjusted; exploratory post-hoc"
"S - U","Late Post",5.36830009627926,2.34280306677825,6.00087911524152,2.29140049046529,0.0618188490056585,"mfcc_2_std","BH-adjusted; exploratory post-hoc"
